학번,이름,반,국어,영어,수학,응시일
S2026000, 박시우 ,A,49,44,54,2026-06-14
S2026001,정채원,C,40,53,74,2026-06-12
S2026002,김시우,A,71,64,47,2026-06-12
S2026003,강도윤,B,74,40,98,2026-06-14
S2026004,정도윤,B,,80,60,2026-06-10
S2026005, 장유진 ,B,47,77,78,2026-06-10
S2026006,최지호,C,53,53,44,2026-06-13
S2026007,김유진,B,90,60,98,2026-06-11
S2026008,임예준,B,90,76,150,2026-06-15
S2026009,김민준,A,81,75,94,2026-06-14
S2026010, 최시우 ,A,58,50,56,2026-06-11
S2026011,임수아,B,58,,76,2026-06-11
S2026012,박서연,A,76,91,75,2026-06-13
S2026013,김서연,A,92,75,42,2026-06-12
S2026014,강채원,B,57,73,88,2026-06-11
S2026015, 조유진 ,C,67,60,97,2026-06-15
S2026016,윤예준,C,74,78,91,2026-06-11
S2026017,조시우,B,46,79,,2026-06-14
S2026018,윤수아,C,79,98,83,2026-06-11
S2026019,이서연,A,97,52,53,2026-06-13
S2026020, 김수아 ,C,51,93,42,2026-06-10
S2026021,조민준,B,96,68,84,2026-06-15
S2026022,임서연,A,,70,50,2026-06-10
S2026023,김채원,C,81,82,62,2026-06-11
S2026024,박채원,B,66,100,75,2026-06-11
S2026025, 강하은 ,A,99,91,80,2026-06-13
S2026026,윤민준,A,58,76,76,2026-06-15
S2026027,정시우,C,46,76,56,2026-06-11
S2026028,강유진,B,95,59,57,2026-06-13
S2026029,조수아,B,62,52,47,2026-06-14
S2026030, 조지호 ,A,54,,62,2026-06-14
S2026031,이도윤,A,92,72,61,2026-06-10
S2026032,박하은,A,47,57,50,2026-06-11
S2026033,최서연,C,53,84,80,2026-06-10
S2026034,강예준,A,99,41,86,2026-06-12
S2026035, 장도윤 ,B,98,49,96,2026-06-14
S2026036,정유진,B,80,81,78,2026-06-15
S2026037,임유진,A,80,59,58,2026-06-11
S2026038,김하은,B,47,48,80,2026-06-10
S2026039,강서연,C,86,75,52,2026-06-12
S2026040, 이하은 ,B,91,47,69,2026-06-14
S2026041,조서연,B,63,98,82,2026-06-11
S2026042,김예준,B,85,47,51,2026-06-10
S2026043,이채원,A,49,57,57,2026-06-15
S2026044,정하은,A,55,61,73,2026-06-14
